wo,coord_focal,cliente,plataforma,proposta_comercial,id_ticket_req,po_contrato,draft_codigo,data_draft,doc,num_doc,data_doc,escopo,faturado_por,exterior_com_iss,vl_bruto,cofins_3,csll_1,inss_11,irpj_15,pis_065,iss_retido,total_retido,vl_liquido,cofins_76,csll_288,icms_20,irpj_48,pis_165,iss_pagar,total_a_pagar,vencimento,status,data_envio_cliente,obs,data_pgto,data_inicio,data_fim,focal,prev_fat,prev_pag
3197,AS,Seadrill,West Polaris,QT-4471 Rev.0,,PO 702037313_2,4472,2025-01-30,NFSe,3790,2025-02-20,SERVIÇO,Rio,0,163686.50,4910.60,1636.87,,2455.30,1063.96,,10066.72,153619.78,7529.58,3077.31,,5401.65,1636.87,8184.33,25829.73,2025-03-22,PAGO,2025-01-31,,2025-03-21,2025-01-01,2025-01-25,RS,2025-02-20,2026-04-06
3197,AS,Seadrill,West Polaris,QT-4471 Rev.0,,PO 702037313_2,4472,2025-01-30,FAT. LOC.,2460,2025-02-25,LOCAÇÃO,Rio,0,27000.00,,,,,,,,27000.00,2052.00,777.60,,1296.00,445.50,,4571.10,2025-03-27,PAGO,2025-01-31,,2025-03-21,2025-01-01,2025-01-25,RS,2025-02-25,2026-04-06
3289,AS,Constellation,Laguna Star,QT- 3380 Rev.2,,PO 14423797,4438,2025-02-03,NFSe,858,2025-02-04,SERVIÇO,Macae,0,167958.25,5038.75,1679.58,,2519.37,1091.73,,10329.43,157628.82,7726.08,3157.62,,5542.62,1679.58,8397.91,26503.81,2025-03-21,PAGO,2025-02-03,previa ok,2025-03-14,2025-01-01,2025-01-31,VC,2025-02-04,2026-04-20
3290,AS,Constellation,Amaralina Star,QT- 3380 Rev.2,,PO 14423195,4439,2025-02-03,NFSe,870,2025-02-07,SERVIÇO,Macae,0,159402.70,4782.08,1594.03,,2391.04,1036.12,,9803.27,149599.43,7332.52,2996.77,,5260.29,1594.03,7970.14,25153.75,2025-03-27,PAGO,2025-02-03,previa ok,2025-03-21,2025-01-01,2025-01-31,VC,2025-02-07,2026-04-20
3295,AJ,Foresea,Norbe VI,,,PO 1350031,4440,2025-02-03,NFSe,861,2025-02-05,SERVIÇO,Macae,0,165414.66,4962.44,1654.15,,2481.22,1075.20,,10173.00,155241.66,7609.07,3109.80,,5458.68,1654.15,8270.73,26102.43,2025-03-07,PAGO,2025-02-03,,2025-03-14,2025-01-01,2025-01-31,VC,2025-02-05,2026-05-04
3296,AJ,Foresea,Norbe IX,,,PO 1349680,4441,2025-02-03,NFSe,887,2025-02-17,SERVIÇO,Macae,0,165414.66,4962.44,1654.15,,2481.22,1075.20,,10173.00,155241.66,7609.07,3109.80,,5458.68,1654.15,8270.73,26102.43,2025-03-19,PAGO,2025-02-04,previa ok,2025-03-20,2025-01-01,2025-01-31,VC,2025-02-17,2026-05-04
3297,AJ,Foresea,ODN I,,,PO 1351143,4442,2025-02-03,NFSe,865,2025-02-06,SERVIÇO,Macae,0,165414.66,4962.44,1654.15,,2481.22,1075.20,,10173.00,155241.66,7609.07,3109.80,,5458.68,1654.15,8270.73,26102.43,2025-03-08,PAGO,2025-02-05,,2025-03-14,2025-01-01,2025-01-31,VC,2025-02-06,2026-05-04
3299,AS,Ventura,Carolina,QT- 3610 Rev.1,,23003051,4443,2025-02-03,NFSe,3782,2025-02-06,SERVIÇO,Rio,0,162720.00,4881.60,1627.20,,2440.80,1057.68,,10007.28,152712.72,7485.12,3059.14,,5369.76,1627.20,8136.00,25677.22,2025-03-08,PAGO,2025-02-04,previa ok,2025-03-10,2025-01-01,2025-01-31,VC,2025-02-06,2026-04-06
3196,AS,Seadrill,West Polaris,QT-4470 Rev.1,,PO 702037308_3,4478,2025-02-03,NFSe,3800,2025-03-01,SERVIÇO,Rio,0,821520.41,24645.61,8215.20,,12322.81,5339.88,,50523.51,770996.90,37789.94,15444.58,,27110.17,8215.20,41076.02,129635.92,2025-03-31,PAGO,2025-02-06,,2025-03-28,2025-01-01,2025-01-31,RS,2025-03-03,2026-04-06
3196,AS,Seadrill,West Polaris,QT-4470 Rev.1,,PO 702037308_3,4478,2025-02-03,FAT. LOC.,2461,2025-03-01,LOCAÇÃO,Rio,0,231260.00,,,,,,,,231260.00,17575.76,6660.29,,11100.48,3815.79,,39152.32,2025-03-31,PAGO,2025-02-06,,2025-03-28,2025-01-01,2025-01-31,RS,2025-03-03,2026-04-06
3301,GR,Transocean,Mykonos,,,PO 18500006835_1,4492,2025-02-07,NFSe,880,2025-02-14,SERVIÇO,Macaé,0,4729.50,141.88,47.30,,70.94,30.74,94.59,385.45,4344.05,217.56,88.91,,156.07,47.30,141.89,651.73,2025-03-16,PAGO,2025-02-11,DI HORA EXTRA - 02/01; 12/01 e 13/01;,2025-03-14,2025-01-01,2025-01-31,DT,2025-02-14,2026-04-06
3088,,Qualitech USA,MO102,QT-4233 Rev0,,,4513,2025-02-17,NFSe(ex),3793,2025-02-24,SERVIÇO,Rio,0,229519.38,,,,,,,,229519.38,17443.47,6610.16,,11016.93,3787.07,,38857.63,2026-01-01,Aguardando Pagamento,2025-02-17,INV 221,,2025-01-01,2025-02-14,,2025-02-24,2026-01-01
3214,AJ,Foresea,Norbe VI,QT-4495 Rev.1,,1354206,4535,2025-02-24,NFSe,948,2025-03-19,SERVIÇO,Macae,0,9839.30,295.18,98.39,,147.59,63.96,,605.12,9234.18,452.61,184.98,,324.70,98.39,491.96,1552.64,2025-04-18,PAGO,2025-02-28,previa ok,2025-04-24,2025-01-03,2025-01-04,VC,2025-03-19,2026-05-04
3214,AJ,Foresea,Norbe VI,QT-4495 Rev.1,,1354206,4535,2025-02-24,FAT. LOC.,611,2025-03-19,LOCAÇÃO,Macae,0,1483.02,,,,,,,,1483.02,112.71,42.71,,71.18,24.47,,251.08,2025-04-18,PAGO,2025-02-28,previa ok,2025-04-24,2025-01-03,2025-01-04,VC,2025-03-19,2026-05-04
3214,AJ,Foresea,Norbe VI,QT-4495 Rev.1,,1355954,4543,2025-02-28,NFSe,965,2025-04-09,SERVIÇO,Macae,0,1853.78,55.61,18.54,,27.81,12.05,,114.01,1739.77,85.27,34.85,,61.17,18.54,92.69,292.53,2025-05-09,PAGO,,,2025-05-15,2025-01-03,2025-01-04,VC,2025-04-09,2026-05-04
3220,MS,Siem,SH2,,,FBG766.24-8318.2,4457,2025-01-22,NFSe,3778,2025-02-03,SERVIÇO,Rio,0,28132.80,843.98,281.33,,421.99,182.86,,1730.17,26402.63,1294.11,528.90,,928.38,281.33,1406.64,4439.36,2025-03-05,PAGO,2025-01-22,Cliente solicitou divisão da DI,2025-03-06,2025-01-04,2025-01-06,VC,2025-02-03,2026-04-06
3304,GR,Transocean,Orion,,,NON PO,4493,2025-02-07,NFSe,918,2025-03-01,SERVIÇO,Macaé,0,15029.89,450.90,150.30,,225.45,97.69,300.60,1224.94,13804.95,691.37,282.56,,495.99,150.30,450.90,2071.12,2025-03-31,PAGO,2025-02-07,,2025-03-28,2025-01-04,2025-01-07,DT,2025-03-03,2026-04-06
2871,AJ,Foresea,ODN I,QT- 3789 Rev.1,,PO 1351535,4422,2025-01-07,NFSe,866,2025-02-06,SERVIÇO,Macae,0,81851.56,2455.55,818.52,,1227.77,532.04,,5033.87,76817.69,3765.17,1538.81,,2701.10,818.52,4092.58,12916.18,2025-03-08,PAGO,2025-01-27,Previa ok,2025-03-14,2025-01-05,2025-01-19,VC,2025-02-06,2026-05-04
2871,AJ,Foresea,ODN I,QT- 3789 Rev.1,,PO 1351535,4422,2025-01-07,FAT. LOC.,550,2025-02-06,LOCAÇÃO,Macae,0,10780.56,,,,,,,,10780.56,819.32,310.48,,517.47,177.88,,1825.15,2025-03-08,PAGO,2025-01-27,Previa ok,2025-03-14,2025-01-05,2025-01-19,VC,2025-02-06,2026-05-04
3250,VR,Halliburton,Aquila,QT-4586 Rev.0,,PO TBC,4537,2025-02-25,NFSe,947,2025-03-19,SERVIÇO,Macaé,0,11280.00,338.40,112.80,,169.20,73.32,225.60,919.32,10360.68,518.88,212.06,,372.24,112.80,338.40,1554.38,2025-04-18,PAGO,2025-02-26,,2025-07-17,2025-01-05,2025-01-06,DT,,
3250,VR,Halliburton,Aquila,QT-4586 Rev.0,,PO TBC,4537,2025-02-25,FAT. LOC.,609,2025-03-19,LOCAÇÃO,Macaé,0,2400.00,,,,,,,,2400.00,182.40,69.12,,115.20,39.60,,406.32,2025-04-18,PAGO,2025-02-26,,2025-07-03,2025-01-05,2025-01-06,DT,,
3219,AJ,Foresea,Norbe IX,QT-4514 Rev.0,,PO 1348971,4425,2025-01-07,NFSe,856,2025-02-03,SERVIÇO,Macae,0,55898.64,1676.96,558.99,,838.48,363.34,,3437.77,52460.87,2571.34,1050.89,,1844.66,558.99,2794.93,8820.81,2025-03-05,PAGO,2025-01-23,previa ok,2025-03-07,2025-01-06,2025-01-19,VC,2025-02-03,2026-05-04
3219,AJ,Foresea,Norbe IX,QT-4514 Rev.0,,PO 1348971,4425,2025-01-07,FAT. LOC.,543,2025-02-03,LOCAÇÃO,Macae,0,5989.20,,,,,,,,5989.20,455.18,172.49,,287.48,98.82,,1013.97,2025-03-05,PAGO,2025-01-23,previa ok,2025-03-07,2025-01-06,2025-01-19,VC,2025-02-03,2026-05-04
3252,AJ,Foresea,Norbe VI,QT-4592 Rev.0,,PO 1354793,4474,2025-01-30,FAT. LOC.,608,2025-03-19,LOCAÇÃO,Macae,0,8740.00,,,,,,,,8740.00,664.24,251.71,,419.52,144.21,,1479.68,2025-04-18,PAGO,2025-03-12,,2025-04-24,2025-01-06,2025-01-28,VC,2025-03-19,2026-05-04
3253,MF,SBM,FPSO ESS,QT-4596 Rev.0,BM 01,P2704202,4433,2025-01-13,NFSe,3818,2025-04-15,SERVIÇO,Rio,0,20484.36,614.53,204.84,,307.27,133.15,,1259.79,19224.57,942.28,385.11,,675.98,204.84,1024.22,3232.43,2025-05-15,PAGO,2025-02-10,,2025-05-15,2025-01-07,2025-01-09,DT,2025-04-15,2026-04-06
3292,#N/A,Helix,SH1,QT-3970 Rev4,,PO 711660_3,4473,2025-01-30,NFSe,913,2025-03-01,SERVIÇO,Macae,0,76216.98,2286.51,762.17,,1143.25,495.41,,4687.34,71529.64,3505.98,1432.88,,2515.16,762.17,3810.85,12027.04,2025-04-15,PAGO,2025-02-12,Prévia ok,2025-04-09,2025-01-07,2025-01-24,,,
3224,AS,Ventura,Victoria,QT-4531 Rev.0,,23003033,4429,2025-01-07,NFSe,3781,2025-02-04,SERVIÇO,Rio,0,64444.00,1933.32,644.44,,966.66,418.89,,3963.31,60480.69,2964.42,1211.55,,2126.65,644.44,3222.20,10169.26,2025-03-06,PAGO,2025-01-28,previa ok,2025-03-06,2025-01-08,2025-01-21,DT,2025-02-04,2026-04-06
3224,AS,Ventura,Victoria,QT-4531 Rev.0,,23003033,4429,2025-01-07,FAT. LOC.,2455,2025-02-04,LOCAÇÃO,Rio,0,20600.00,,,,,,,,20600.00,1565.60,593.28,,988.80,339.90,,3487.58,2025-03-06,PAGO,2025-01-28,previa ok,2025-03-06,2025-01-08,2025-01-21,DT,2025-02-04,2026-04-06
2297,AJ,Foresea,Norbe IX,QT-2531,,1352765,4460,2025-01-23,NFSe,884,2025-02-14,SERVIÇO,Macae,0,81851.56,2455.55,818.52,9003.67,1227.77,532.04,,14037.54,67814.02,3765.17,1538.81,,2701.10,818.52,4092.58,12916.18,2025-03-16,PAGO,2025-02-07,previa ok,2025-03-20,2025-01-08,2025-01-21,VC,2025-02-14,2026-05-04
2297,AJ,Foresea,Norbe IX,QT-2531,,1352765,4460,2025-01-23,FAT. LOC.,562,2025-02-14,LOCAÇÃO,Macae,0,10780.56,,,,,,,,10780.56,819.32,310.48,,517.47,177.88,,1825.15,2025-03-16,PAGO,2025-02-07,previa ok,2025-03-20,2025-01-08,2025-01-21,VC,2025-02-14,2026-05-04
3173,,Foresea,Norbe VIII,QT-4405 REV1,,,,,NFSe,,,SERVIÇO,,0,50089.18,1502.68,500.89,,751.34,325.58,,3080.48,47008.70,2304.10,941.68,,1652.94,500.89,2504.46,7904.07,,Cancelado,,"time nao subiu, sem previsão para o proximo embarque",,2025-01-08,2025-01-21,VC,2026-03-06,2026-05-05
3173,,Foresea,Norbe VIII,QT-4405 REV1,,,,,FAT. LOC.,,,LOCAÇÃO,,0,21489.74,,,,,,,,21489.74,1633.22,618.90,,1031.51,354.58,,3638.21,,Cancelado,,"time nao subiu, sem previsão para o proximo embarque",,2025-01-08,2025-01-21,VC,2026-03-06,2026-05-05
3257,AS,Seadrill,West Polaris,QT-4594 Rev.1,,702038713_1,4499,2025-03-06,FAT. LOC.,2464,2025-03-24,LOCAÇÃO,Rio,0,24650.00,,,,,,,,24650.00,1873.40,709.92,,1183.20,406.73,,4173.24,2025-04-23,PAGO,2025-03-07,NF de envio,2025-04-17,2025-01-09,2025-03-12,RS,2025-03-24,2026-04-06
3292,#N/A,Helix,SH1,QT-3970 Rev4,,PO 711660_3,4473,2025-01-30,FAT. LOC.,578,2025-03-01,LOCAÇÃO,Macae,0,43456.90,,,,,,,,43456.90,3302.72,1251.56,,2085.93,717.04,,7357.25,2025-04-15,PAGO,2025-02-12,Prévia ok,2025-04-09,2025-01-10,2025-01-24,,,
3258,AS,Seadrill,West Polaris,QT-4595 Rev.0,,702038712,,,NFSe,,,SERVIÇO,,0,,,,,,,,,,,,,,,,,,Free Of Charge,,André informou que vamos cobrar tudo na WO 3196,,2025-01-10,2025-01-31,RS,,
3258,AS,Seadrill,West Polaris,QT-4595 Rev.0,,702038712,,,FAT. LOC.,,,LOCAÇÃO,,0,,,,,,,,,,,,,,,,,,Free Of Charge,,André informou que vamos cobrar tudo na WO 3196,,2025-01-10,2025-01-31,RS,,
3294,MS,Etesco,Takatsugu J,QT-3701 Rev3,,,4462,2025-01-24,NFSe,853,2025-01-29,SERVIÇO,Macaé,0,52297.52,1568.93,522.98,5752.73,784.46,339.93,1045.95,10014.98,42282.54,2405.69,983.19,,1725.82,522.98,1568.93,7206.60,2025-02-28,PAGO,2025-01-27,,2025-03-10,2025-01-12,2025-01-26,VC,2025-01-29,2026-04-06
3294,MS,Etesco,Takatsugu J,QT-3701 Rev3,,,4462,2025-01-24,FAT. LOC.,541,2025-01-29,LOCAÇÃO,Macaé,0,35657.60,,,,,,,,35657.60,2709.98,1026.94,,1711.56,588.35,,6036.83,2025-02-28,PAGO,2025-01-27,,2025-02-28,2025-01-12,2025-01-26,VC,2025-01-29,2026-04-06
3251,,Technip,Skandi Vitoria,QT-4589 Rev.0,,402706-21-TRJ,4469,2025-01-28,NFSe,3784,2025-02-14,SERVIÇO,Rio,0,35839.65,1075.19,358.40,,537.59,232.96,,2204.14,33635.51,1648.62,673.79,,1182.71,358.40,1791.98,5655.50,2025-05-15,PAGO,2025-01-31,,2025-05-15,2025-01-13,2025-01-15,DT,2025-02-14,2026-04-20
3251,,Technip,Skandi Vitoria,QT-4589 Rev.0,,402706-21-TRJ,4469,2025-01-28,FAT. LOC.,2457,2025-02-14,LOCAÇÃO,Rio,0,9312.42,,,,,,,,9312.42,707.74,268.20,,447.00,153.65,,1576.59,2025-05-15,PAGO,2025-01-31,,2025-05-15,2025-01-13,2025-01-15,DT,2025-02-14,2026-04-20
3256,MS,Etesco,Arabia,QT-4593 Rev.1,,ARAB1-1206,4477,2025-01-30,NFSe,889,2025-02-18,SERVIÇO,Macae,0,131448.92,3943.47,1314.49,14459.38,1971.73,854.42,,22543.49,108905.43,6046.65,2471.24,,4337.81,1314.49,6572.45,20742.64,2025-03-20,PAGO,2025-02-10,,2025-03-20,2025-01-13,2025-01-28,VC,2025-02-18,2026-04-06
3256,MS,Etesco,Arabia,QT-4593 Rev.1,,ARAB1-1206,4477,2025-01-30,FAT. LOC.,565,2025-02-18,LOCAÇÃO,Macae,0,15632.04,,,,,,,,15632.04,1188.04,450.20,,750.34,257.93,,2646.50,2025-03-20,PAGO,2025-02-10,,2025-03-20,2025-01-13,2025-01-28,VC,2025-02-18,2026-04-06
3262,MS,Etesco,Arabia,QT-4591 Rev.0,,ARAB1-1225,4475,2025-02-03,NFSe,881,2025-02-10,SERVIÇO,Macae,0,91543.95,2746.32,915.44,10069.83,1373.16,595.04,,15699.79,75844.16,4211.02,1721.03,,3020.95,915.44,4577.20,14445.64,2025-03-16,PAGO,2025-02-04,,2025-03-17,2025-01-13,2025-01-27,VC,2025-02-10,2026-04-06
3210,VR,Halliburton,Yard,,,PO 8202859279,,,DANFE,5516,2025-01-15,VENDA,Macaé,0,5446.49,,,,,,,,5446.49,413.93,156.86,1089.30,261.43,89.87,,2011.39,2025-04-24,PAGO,,,2025-04-25,2025-01-14,2025-01-14,DT,,
3263,MF,SBM,FPSO Cidade de ilhabela,QT-4603 Rev.0,,PO P2720819,4470,2025-01-28,NFSe,3780,2025-02-04,SERVIÇO,Rio,0,31785.45,953.56,317.85,,476.78,206.61,,1954.81,29830.64,1462.13,597.57,,1048.92,317.85,1589.27,5015.74,2025-03-21,PAGO,2025-01-30,,2025-03-20,2025-01-15,2025-01-24,VC,2025-02-04,2026-04-06
3263,MF,SBM,FPSO Cidade de ilhabela,QT-4603 Rev.0,,PO P2720819,4470,2025-01-28,FAT. LOC.,2454,2025-02-04,LOCAÇÃO,Rio,0,2954.34,,,,,,,,2954.34,224.53,85.08,,141.81,48.75,,500.17,2025-03-21,PAGO,2025-01-30,,2025-03-20,2025-01-15,2025-01-24,VC,2025-02-04,2026-04-06
3264,AS,Constellation,Alpha Star,QT 4604 Rev.0,,14423567 / PO 14423719,4467,2025-01-27,NFSe,892,2025-02-19,SERVIÇO,Macae,0,134777.29,4043.32,1347.77,,2021.66,876.05,,8288.80,126488.49,6199.76,2533.81,,4447.65,1347.77,6738.86,21267.86,2025-03-21,PAGO,2025-02-12,previa ok,2025-04-11,2025-01-16,2025-01-24,VC,2025-02-19,2026-04-20
3264,AS,Constellation,Alpha Star,QT 4604 Rev.0,,14423567 / PO 14423719,4467,2025-01-27,FAT. LOC.,567,2025-02-19,LOCAÇÃO,Macae,0,16108.00,,,,,,,,16108.00,1224.21,463.91,,773.18,265.78,,2727.08,2025-03-21,PAGO,2025-02-12,previa ok,2025-03-26,2025-01-16,2025-01-22,VC,2025-02-19,2026-04-20
3201,MS,Siem,SH1,QT-4423 Rev.0,,PO FBG765.24-8300,4482,2025-02-05,NFSe(ex),3794,2025-02-26,SERVIÇO,Macae,0,160670.69,,,,,,,,160670.69,12210.97,4627.32,,7712.19,2651.07,,27201.55,2025-03-23,PAGO,2025-02-11,INV 217,2025-03-25,2025-01-16,2025-01-19,VC,2025-02-26,2026-04-06
3273,AS,Ventura,Carolina,QT-4615 Rev.0,,25000233,4485,,NFSe,872,2025-02-10,SERVIÇO,Macaé,0,3150.00,94.50,31.50,,47.25,20.47,63.00,256.73,2893.28,144.90,59.22,,103.95,31.50,94.50,434.07,2025-03-12,PAGO,2025-02-07,previa ok,2025-03-12,2025-01-16,2025-01-16,DT,2025-02-10,2026-04-06
3221,AS,Constellation,Amaralina Star,QT-4307 Rev.1,,PO 14421639,4455,2025-01-22,NFSe,873,2025-02-10,SERVIÇO,Macae,0,74748.00,2242.44,747.48,,1121.22,485.86,,4597.00,70151.00,3438.41,1405.26,,2466.68,747.48,3737.40,11795.23,2025-03-27,PAGO,2025-02-03,previa ok,2025-03-21,2025-01-17,2025-02-03,VC,2025-02-10,2026-04-20
3221,AS,Constellation,Amaralina Star,QT-4307 Rev.1,,PO 14421639,4455,2025-01-22,FAT. LOC.,556,2025-02-10,LOCAÇÃO,Macae,0,17460.00,,,,,,,,17460.00,1326.96,502.85,,838.08,288.09,,2955.98,2025-03-27,PAGO,2025-02-03,previa ok,2025-03-21,2025-01-17,2025-02-03,VC,2025-02-10,2026-04-20
3269,MS,Constellation,Alpha Star,QT 4606 Rev.1,,PO 14423993/14424092,4456,2025-01-22,NFSe,891,2025-02-19,SERVIÇO,Macae,0,200432.87,6012.99,2004.33,,3006.49,1302.81,,12326.62,188106.25,9219.91,3768.14,,6614.28,2004.33,10021.64,31628.31,2025-03-21,PAGO,2025-02-12,previa ok,2025-03-14,2025-01-17,2025-01-23,VC,2025-02-19,2026-04-20
3269,MS,Constellation,Alpha Star,QT 4606 Rev.1,,1442795,4521,2025-01-22,FAT. LOC.,601,2025-03-14,LOCAÇÃO,Macae,0,24830.00,,,,,,,,24830.00,1887.08,715.10,,1191.84,409.69,,4203.72,2025-04-28,PAGO,2025-02-12,previa ok,2025-04-17,2025-01-17,2025-01-23,VC,2025-03-14,2026-04-20
3293,#N/A,Helix,SH2,QT-3970 Rev4,,712049_1,4479,2025-02-03,NFSe,871,2025-02-10,SERVIÇO,Macae,0,56151.98,1684.56,561.52,,842.28,364.99,,3453.35,52698.63,2582.99,1055.66,,1853.02,561.52,2807.60,8860.78,2025-03-27,PAGO,2024-02-04,,2025-03-26,2025-01-17,2025-02-02,,,
3293,#N/A,Helix,SH2,QT-3970 Rev4,,712049_1,4479,2025-02-03,FAT. LOC.,555,2025-02-10,LOCAÇÃO,Macae,0,38725.50,,,,,,,,38725.50,2943.14,1115.29,,1858.82,638.97,,6556.23,2025-03-27,PAGO,2024-02-04,,2025-03-26,2025-01-17,2025-02-02,,,
3292,#N/A,Helix,SH1,EXTRA,,PO 710759_1,4508,2025-02-17,NFSe,915,2025-03-01,SERVIÇO,Macae,0,4383.60,131.51,43.84,,65.75,28.49,,269.59,4114.01,201.65,82.41,,144.66,43.84,219.18,691.73,2025-04-15,PAGO,2025-02-18,,2025-04-09,2025-01-17,2025-01-17,,,
3275,,Seadrill,West Polaris,QT-4608 Rev.0,,PO 702039179,,,DANFE,3587,2025-01-17,VENDA,Macae,0,5363.98,,,,,,,,5363.98,407.66,154.48,1072.80,257.47,88.51,,1980.92,2025-03-22,PAGO,,,2025-06-13,2025-01-17,2025-01-17,RS,2025-01-17,2026-04-06
